,param1,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param2,param20,param3,param4,param5,param6,param7,param8,param9
783_fri_c3_100_10,57.1,53.4,54.75,56.25,56.5,54.45,52.75,51.5,50.4,51.75,51.8,56.4,51.3,55.65,58.9,57.2,54.35,54.0,57.15,55.05
788_triazines,59.57333333333334,56.29333333333334,,61.2,,60.29333333333333,59.09333333333334,,54.08000000000001,57.36,58.69333333333333,52.37333333333334,,56.29333333333334,,59.54666666666667,54.29333333333334,,57.2,
789_fri_c1_100_10,54.07407407407406,53.086419753086425,57.0864197530864,58.074074074074076,59.01234567901235,53.185185185185176,59.80246913580247,59.308641975308646,55.65432098765432,51.209876543209866,54.46913580246913,56.0,58.17283950617285,53.97530864197532,56.0,52.0,53.97530864197532,53.382716049382715,49.1358024691358,50.222222222222214
792_fri_c2_500_5,73.8852867830424,65.45635910224439,,,,,,,,,,68.03990024937653,,73.5561097256858,72.00997506234414,66.90274314214463,,70.20448877805487,,
793_fri_c3_250_10,55.98,53.96,56.1,51.18000000000001,53.12000000000001,53.35999999999999,49.78,49.7,,,,53.62000000000001,51.4,55.62000000000001,52.76000000000001,54.56,59.64,57.78,56.540000000000006,53.92
794_fri_c2_250_25,50.208955223880594,,56.17910447761193,54.109452736318396,57.27363184079602,56.63681592039801,57.19402985074627,,,,,49.29353233830845,,52.21890547263683,54.64676616915424,55.263681592039795,54.12935323383084,,53.134328358208954,55.12437810945274
808_fri_c0_100_10,54.6,59.15,52.65,52.5,57.8,59.2,54.25,52.45,52.75,51.35,54.8,54.5,52.6,54.1,51.45,54.25,55.9,50.95,54.85,54.3
812_fri_c1_100_25,55.70370370370371,54.22222222222222,51.30864197530864,59.60493827160493,50.716049382716044,56.49382716049382,50.617283950617285,49.33333333333333,56.98765432098765,53.975308641975296,53.58024691358025,54.86419753086419,51.90123456790123,53.4320987654321,53.87654320987654,52.69135802469136,56.79012345679011,61.03703703703703,58.518518518518505,64.8888888888889
814_chscase_vine2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820_chatfield_4,79.64021164021166,77.2063492063492,77.46031746031746,79.57671957671955,79.93650793650794,82.11640211640209,80.82539682539681,83.34391534391534,81.41798941798943,78.96296296296295,81.05820105820105,79.7037037037037,82.15873015873015,80.0,79.30158730158729,76.55026455026454,81.29100529100529,81.54497354497354,81.35449735449734,80.38095238095238
374_SyskillWebert-BioMedical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39_ecoli,80.99628252788105,85.9925650557621,,,,,,,,,,81.73977695167284,,79.33085501858736,,80.35687732342008,83.56877323420073,83.68773234200744,,
40665_clean1,99.67539267015707,100.0,,,,,,,,,,99.34031413612566,,,99.60209424083769,,99.95811518324606,100.0,100.0,100.0
40671_ecoli,88.425855513308,87.9087452471483,,,,,,,,,,88.106463878327,,89.9315589353612,86.38783269961979,90.23574144486692,89.91634980988594,90.60076045627379,90.87452471482891,89.8555133079848
40682_thyroid-new,96.30232558139537,97.69767441860463,94.16279069767442,93.44186046511628,94.4186046511628,96.18604651162792,94.0,,93.65116279069768,96.18604651162792,,94.4186046511628,94.30232558139534,96.06976744186045,98.83720930232559,96.83720930232559,98.39534883720933,98.60465116279067,99.65116279069768,99.18604651162792
40_sonar,98.1556886227545,99.92814371257485,97.9880239520958,96.93413173652695,96.50299401197606,96.95808383233532,96.07185628742512,95.49700598802394,,96.8383233532934,96.35928143712576,99.44910179640719,95.18562874251495,99.11377245508982,98.70658682634729,99.44910179640719,98.80239520958084,98.89820359281437,99.54491017964071,99.23353293413172
41_glass,27.011494252873558,26.528735632183913,26.27586206896552,18.620689655172416,23.724137931034484,33.63218390804597,21.540229885057467,,,,,37.95402298850574,,31.632183908045977,30.20689655172414,37.5632183908046,30.73563218390805,43.24137931034483,38.25287356321839,44.45977011494253
4340_Engine1,85.8169934640523,82.10457516339869,,,,,,,,,,85.15032679738563,,86.53594771241829,83.92156862745098,81.12418300653594,84.20915032679737,83.88235294117645,86.1045751633987,80.53594771241829
464_prnn_synth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53_heart-statlog,70.01851851851852,72.98148148148148,,75.75925925925927,,74.53703703703705,72.6111111111111,,,,,75.6111111111111,,,69.09259259259258,72.83333333333334,76.1111111111111,,73.42592592592591,
61_iris,100.0,100.0,99.8,99.70000000000002,99.3,99.56666666666668,99.53333333333332,97.5,98.13333333333334,98.46666666666668,98.53333333333332,97.69999999999996,96.96666666666668,99.56666666666668,99.46666666666664,99.33333333333331,100.0,99.83333333333334,99.4,100.0
716_fri_c3_100_50,53.481481481481495,53.97530864197532,49.82716049382715,50.814814814814824,50.96296296296297,49.4320987654321,53.58024691358025,56.54320987654321,58.41975308641975,57.13580246913581,56.34567901234568,52.54320987654321,57.23456790123456,54.17283950617285,52.09876543209877,53.33333333333333,52.641975308641975,55.01234567901235,52.790123456790134,57.1358024691358
721_pwLinear,80.49689440993788,76.62111801242236,78.53416149068323,78.6335403726708,75.03105590062111,81.41614906832298,75.82608695652172,78.75776397515527,82.48447204968946,,80.17391304347827,78.75776397515527,81.63975155279503,74.31055900621118,74.80745341614906,77.63975155279502,78.95652173913045,76.8695652173913,76.74534161490682,79.00621118012424
726_fri_c2_100_5,51.9,65.9,57.45,62.9,65.3,57.75,63.45,61.25,60.35,64.35,67.8,53.65,63.8,53.4,49.4,55.5,51.0,54.7,55.95,53.25
730_fri_c1_250_5,64.45771144278606,64.75621890547264,75.72139303482588,63.66169154228857,71.40298507462687,63.86069651741293,66.96517412935323,,62.587064676616905,,68.41791044776122,76.33830845771145,66.7860696517413,69.11442786069651,65.37313432835822,65.89054726368157,65.71144278606965,70.92537313432838,64.955223880597,62.80597014925373
732_fri_c0_250_50,53.0547263681592,,49.890547263681604,54.88557213930349,,49.43283582089553,50.50746268656717,,,,,54.587064676616905,,,52.4776119402985,54.36815920398009,,50.50746268656717,,51.82089552238805
733_machine_cpu,85.92857142857143,85.78571428571426,85.9761904761905,90.57142857142858,84.35714285714286,89.33333333333331,85.54761904761905,86.30952380952381,88.92857142857142,90.26190476190477,84.59523809523809,86.40476190476191,91.5,81.71428571428571,83.80952380952381,87.54761904761905,88.4761904761905,79.97619047619048,85.0,89.2142857142857
736_visualizing_environmental,64.13333333333333,65.46666666666667,59.155555555555544,60.35555555555555,59.422222222222224,60.93333333333334,57.68888888888889,58.88888888888889,62.17777777777778,56.755555555555546,56.26666666666667,63.91111111111112,58.13333333333333,66.0,60.84444444444443,60.71111111111111,61.68888888888889,62.755555555555546,63.06666666666666,58.577777777777776
744_fri_c3_250_5,71.48258706467662,61.452736318407965,69.8507462686567,76.33830845771145,73.71144278606967,68.45771144278606,75.08457711442786,64.25870646766171,,70.12935323383086,,68.01990049751245,72.45771144278606,69.4726368159204,66.6268656716418,68.07960199004977,74.86567164179105,67.58208955223878,71.22388059701494,65.8905472636816
746_fri_c1_250_25,52.23880597014925,51.82089552238807,52.37810945273632,50.94527363184079,51.38308457711442,,51.42288557213931,,,54.28855721393034,53.691542288557216,54.60696517412934,50.48756218905475,55.9004975124378,51.7412935323383,54.208955223880594,51.34328358208954,48.776119402985074,52.95522388059702,50.76616915422886
750_pm10,50.024937655860356,,,,,,,,,,,50.47381546134664,,51.45137157107232,49.85536159600997,49.67581047381547,,50.53366583541147,,
753_wisconsin,67.97435897435898,67.2820512820513,68.35897435897436,67.66666666666667,67.74358974358975,67.38461538461539,,68.84615384615384,69.38461538461539,68.94871794871794,68.51282051282051,66.48717948717949,,69.02564102564102,68.94871794871793,66.1025641025641,66.84615384615384,67.28205128205127,,66.94871794871794
754_fri_c0_100_5,59.407407407407405,66.41975308641976,62.074074074074076,55.95061728395061,62.41975308641975,63.25925925925926,55.90123456790123,70.66666666666667,61.23456790123456,70.46913580246913,67.25925925925927,62.37037037037037,69.53086419753086,61.382716049382715,56.592592592592595,71.20987654320987,60.93827160493828,55.06172839506174,64.74074074074073,61.4320987654321
